id,course_id,student_id,created_at,updated_at
75995,213,75996,2022-03-03 09:44:20.046786,2022-03-03 09:44:20.046786
75996,213,75997,2022-03-03 09:44:21.330385,2022-03-03 09:44:21.330385
75997,213,75998,2022-03-03 09:44:22.599799,2022-03-03 09:44:22.599799
75998,213,75999,2022-03-03 09:44:23.936756,2022-03-03 09:44:23.936756
75999,213,76000,2022-03-03 09:44:25.103722,2022-03-03 09:44:25.103722
76000,213,76001,2022-03-03 09:44:26.346648,2022-03-03 09:44:26.346648
76001,213,76002,2022-03-03 09:44:27.611079,2022-03-03 09:44:27.611079
76002,213,76003,2022-03-03 09:44:28.817727,2022-03-03 09:44:28.817727
76003,213,76004,2022-03-03 09:44:30.140127,2022-03-03 09:44:30.140127
76004,213,76005,2022-03-03 09:44:31.348628,2022-03-03 09:44:31.348628
76005,213,76006,2022-03-03 09:44:32.630456,2022-03-03 09:44:32.630456
76006,213,76007,2022-03-03 09:44:33.879029,2022-03-03 09:44:33.879029
76007,213,76008,2022-03-03 09:44:35.114876,2022-03-03 09:44:35.114876
76008,213,76009,2022-03-03 09:44:36.41519,2022-03-03 09:44:36.41519
76009,213,76010,2022-03-03 09:44:37.765067,2022-03-03 09:44:37.765067
76010,213,76011,2022-03-03 09:44:38.993254,2022-03-03 09:44:38.993254
76011,213,76012,2022-03-03 09:44:40.294225,2022-03-03 09:44:40.294225
76012,213,76013,2022-03-03 09:44:41.562592,2022-03-03 09:44:41.562592
76013,213,76014,2022-03-03 09:44:42.843166,2022-03-03 09:44:42.843166
76014,213,76015,2022-03-03 09:44:44.16088,2022-03-03 09:44:44.16088
76015,213,76016,2022-03-03 09:44:45.442735,2022-03-03 09:44:45.442735
76016,213,76017,2022-03-03 09:44:46.791487,2022-03-03 09:44:46.791487
76017,213,76018,2022-03-03 09:44:48.095829,2022-03-03 09:44:48.095829
76018,213,76019,2022-03-03 09:44:49.307882,2022-03-03 09:44:49.307882
76019,213,76020,2022-03-03 09:44:50.539932,2022-03-03 09:44:50.539932
76020,213,76021,2022-03-03 09:44:51.746963,2022-03-03 09:44:51.746963
76021,213,76022,2022-03-03 09:44:53.12281,2022-03-03 09:44:53.12281
76022,213,76023,2022-03-03 09:44:54.417593,2022-03-03 09:44:54.417593
76023,213,76024,2022-03-03 09:44:55.69087,2022-03-03 09:44:55.69087
76024,213,76025,2022-03-03 09:44:56.938905,2022-03-03 09:44:56.938905
76025,213,76026,2022-03-03 09:44:58.109108,2022-03-03 09:44:58.109108
76026,213,76027,2022-03-03 09:44:59.388465,2022-03-03 09:44:59.388465
76027,213,76028,2022-03-03 09:45:00.67948,2022-03-03 09:45:00.67948
76028,213,76029,2022-03-03 09:45:02.171515,2022-03-03 09:45:02.171515
76029,213,76030,2022-03-03 09:45:03.540722,2022-03-03 09:45:03.540722
76030,213,76031,2022-03-03 09:45:04.840934,2022-03-03 09:45:04.840934
76031,213,76032,2022-03-03 09:45:06.259916,2022-03-03 09:45:06.259916
76032,213,76033,2022-03-03 09:45:07.598461,2022-03-03 09:45:07.598461
76033,213,76034,2022-03-03 09:45:08.907317,2022-03-03 09:45:08.907317
76034,213,76035,2022-03-03 09:45:10.238058,2022-03-03 09:45:10.238058
76035,213,76036,2022-03-03 09:45:11.541735,2022-03-03 09:45:11.541735
76036,213,76037,2022-03-03 09:45:12.841678,2022-03-03 09:45:12.841678
76037,213,76038,2022-03-03 09:45:14.093626,2022-03-03 09:45:14.093626
76038,213,76039,2022-03-03 09:45:15.35957,2022-03-03 09:45:15.35957
76039,213,76040,2022-03-03 09:45:16.666179,2022-03-03 09:45:16.666179
76040,213,76041,2022-03-03 09:45:17.932644,2022-03-03 09:45:17.932644
76041,213,76042,2022-03-03 09:45:19.170131,2022-03-03 09:45:19.170131
76042,213,76043,2022-03-03 09:45:20.439474,2022-03-03 09:45:20.439474
76043,213,76044,2022-03-03 09:45:21.733448,2022-03-03 09:45:21.733448
